SUBSCRIBER_ID,BNUM_OUT,BNUM_IN,PROD_CNT_MACRO,REV_BUN_MAC,REV_OUT,USAGE_OUT_INT_DUR,USAGE_OUT_OFFNET_DUR,USAGE_OUT_ONNET_DUR,LNE_TENURE,TOPUP_AMT,TOPUP_CNT,CHURN
2860,0.0,5.0,-1.0,-1.0,0.0,0.0,0.0,0.0,87,-1.0,-1.0,1
2861,13.0,14.0,0.0,-1.0,0.0,0.0,0.0,140.0,85,-1.0,0.0,0
2862,0.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,107,-1.0,-1.0,0
2863,4.0,5.0,0.0,-1.0,14.0,321.0,2.0,0.0,115,18.0,10.0,0
2864,8.0,4.0,-1.0,-1.0,6.0,0.0,10.0,25.0,104,5.0,1.0,0
2865,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,94,-1.0,-1.0,0
2866,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,2.0,124,-1.0,-1.0,1
2867,9.0,23.0,0.0,-1.0,6.0,0.0,0.0,11.0,150,7.0,2.0,1
2868,20.0,28.0,2.0,2.0,1.0,0.0,0.0,304.0,113,5.0,3.0,0
2869,3.0,7.0,1.0,1.0,0.0,0.0,0.0,43.0,148,1.0,1.0,0
2870,0.0,42.0,-1.0,-1.0,0.0,0.0,0.0,0.0,187,1.0,1.0,0
2871,0.0,5.0,-1.0,-1.0,0.0,0.0,0.0,0.0,150,-1.0,-1.0,0
2872,6.0,15.0,-1.0,-1.0,1.0,0.0,2.0,1.0,149,2.0,2.0,0
2873,5.0,6.0,-1.0,-1.0,2.0,0.0,4.0,18.0,112,3.0,3.0,0
2874,8.0,3.0,0.0,-1.0,27.0,125.0,0.0,1.0,86,30.0,3.0,0
2875,9.0,10.0,-1.0,-1.0,8.0,11.0,2.0,15.0,117,10.0,2.0,1
2876,9.847960992907801,14.55252659574468,-1.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,140,-1.0,0.0,0
2877,0.0,63.0,0.0,-1.0,0.0,0.0,0.0,0.0,102,-1.0,-1.0,1
2878,3.0,2.0,-1.0,-1.0,1.0,0.0,9.0,1.0,165,1.0,1.0,1
2879,2.0,3.0,-1.0,-1.0,1.0,0.0,1.0,1.0,101,-1.0,-1.0,1
2880,3.0,27.0,-1.0,-1.0,1.0,0.0,11.0,0.0,136,2.0,1.0,0
2881,16.0,18.0,-1.0,-1.0,7.0,6.0,30.0,9.0,118,6.0,2.0,0
2882,9.0,7.0,0.0,-1.0,5.0,0.0,8.0,14.0,158,10.0,1.0,0
2883,19.0,24.0,-1.0,-1.0,15.0,2.0,55.0,28.0,134,19.0,6.0,0
2884,1.0,4.0,-1.0,-1.0,0.0,0.0,2.0,0.0,90,3.0,1.0,0
2885,16.0,29.0,1.0,2.0,2.0,1.0,0.0,207.0,154,4.0,3.0,0
2886,4.0,5.0,-1.0,-1.0,1.0,0.0,1.0,1.0,138,5.0,1.0,0
2887,9.847960992907801,14.55252659574468,-1.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,136,-1.0,-1.0,0
2888,12.0,8.0,0.0,-1.0,4.0,0.0,10.0,15.0,112,5.0,2.0,0
2889,0.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,156,-1.0,-1.0,1
2890,13.0,20.0,-1.0,-1.0,1.0,0.0,3.0,0.0,142,-1.0,-1.0,0
2891,0.0,1.0,0.0,-1.0,2.4848619768477294,0.0,0.0,0.0,166,-1.0,0.0,0
2892,20.0,15.0,1.0,1.0,1.0,0.0,0.0,126.0,155,-1.0,0.0,0
2893,31.0,26.0,4.0,4.0,3.0,0.0,57.0,178.0,161,6.0,6.0,0
2894,7.0,5.0,-1.0,-1.0,3.0,0.0,0.0,19.0,149,2.0,1.0,0
2895,0.0,4.0,-1.0,-1.0,0.0,0.0,0.0,0.0,103,-1.0,-1.0,1
2896,3.0,2.0,-1.0,-1.0,5.0,0.0,40.0,9.0,86,5.0,1.0,0
2897,20.0,23.0,-1.0,-1.0,9.0,0.0,49.0,13.0,108,13.0,3.0,0
2898,9.847960992907801,14.55252659574468,-1.0,-1.0,0.0,0.0,0.0,0.0,149,-1.0,-1.0,1
2899,11.0,16.0,-1.0,-1.0,7.0,0.0,0.0,1.0,90,9.0,4.0,0
2900,0.0,27.0,-1.0,-1.0,0.0,0.0,0.0,0.0,86,-1.0,-1.0,0
2901,8.0,9.0,-1.0,-1.0,3.0,0.0,9.0,7.0,139,2.0,1.0,1
2902,2.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,93,-1.0,-1.0,1
2903,4.0,3.0,1.0,1.0,0.0,0.0,0.0,72.0,154,-1.0,0.0,0
2904,76.0,63.0,14.0,8.0,1.0,0.0,1.0,2323.0,155,10.0,7.0,0
2905,35.0,58.0,0.0,-1.0,3.0,0.0,2.0,27.0,150,4.0,2.0,0
2906,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,150,-1.0,-1.0,0
2907,9.847960992907801,14.55252659574468,-1.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,186,-1.0,-1.0,0
